# {
#     "command": "/home/pjewell/majiq/env_3.8/bin/voila modulize output/build/splicegraph.sql output/heterogen/HepG2_SRSF4KD-HepG2_NT.het.voila output/heterogen/HepG2_SRSF4KD-K562_NT.het.voila output/heterogen/K562_NT-HepG2_NT.het.voila output/heterogen/K562_SRSF4KD-HepG2_NT.het.voila output/heterogen/K562_SRSF4KD-HepG2_SRSF4KD.het.voila output/heterogen/K562_SRSF4KD-K562_NT.het.voila -d output/modulized --overwrite",
#     "het_IQR_nonchanging_threshold": 0.1,
#     "het_changing_threshold": 0.2,
#     "het_nonchanging_threshold": 0.05,
#     "het_pvalue_changing_threshold": 0.05,
#     "het_pvalue_nonchanging_threshold": 0.05,
#     "voila_version": "2.2.0"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	module_event_combination	denovo	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	HepG2_SRSF4KD_het_median_psi	HepG2_NT_het_median_psi	HepG2_SRSF4KD-HepG2_NT_het_median_dpsi	HepG2_SRSF4KD-HepG2_NT_het_infoscore	HepG2_SRSF4KD-HepG2_NT_het_tnom	HepG2_SRSF4KD-HepG2_NT_het_ttest	HepG2_SRSF4KD-HepG2_NT_het_wilcoxon	K562_NT_het_median_psi	HepG2_SRSF4KD-K562_NT_het_median_dpsi	HepG2_SRSF4KD-K562_NT_het_infoscore	HepG2_SRSF4KD-K562_NT_het_tnom	HepG2_SRSF4KD-K562_NT_het_ttest	HepG2_SRSF4KD-K562_NT_het_wilcoxon	K562_NT-HepG2_NT_het_median_dpsi	K562_NT-HepG2_NT_het_infoscore	K562_NT-HepG2_NT_het_tnom	K562_NT-HepG2_NT_het_ttest	K562_NT-HepG2_NT_het_wilcoxon	K562_SRSF4KD_het_median_psi	K562_SRSF4KD-HepG2_NT_het_median_dpsi	K562_SRSF4KD-HepG2_NT_het_infoscore	K562_SRSF4KD-HepG2_NT_het_tnom	K562_SRSF4KD-HepG2_NT_het_ttest	K562_SRSF4KD-HepG2_NT_het_wilcoxon	K562_SRSF4KD-HepG2_SRSF4KD_het_median_dpsi	K562_SRSF4KD-HepG2_SRSF4KD_het_infoscore	K562_SRSF4KD-HepG2_SRSF4KD_het_tnom	K562_SRSF4KD-HepG2_SRSF4KD_het_ttest	K562_SRSF4KD-HepG2_SRSF4KD_het_wilcoxon	K562_SRSF4KD-K562_NT_het_median_dpsi	K562_SRSF4KD-K562_NT_het_infoscore	K562_SRSF4KD-K562_NT_het_tnom	K562_SRSF4KD-K562_NT_het_ttest	K562_SRSF4KD-K562_NT_het_wilcoxon
gene:ENSG00000084652_1	gene:ENSG00000084652	TXLNA	1	+	gene:ENSG00000084652:s:32179686-32179776	gene:ENSG00000084652_1_CE_1	True	cassette^2|alt3^1	False	C1_A	32179776-32180314	False	True	True	0.82	0.908	-0.088	0.181	0.424	0.071	0.067	0.715	0.106	0.079	0.143	0.04	0.063	-0.193	0.004	0.004	0.0	0.004	0.688	-0.22	0.01	0.01	0.0	0.01	-0.132	0.029	0.029	0.006	0.029	-0.027	0.286	0.563	0.087	0.111
gene:ENSG00000116350_1	gene:ENSG00000116350	SRSF4	1	-	gene:ENSG00000116350:s:29165890-29166064	gene:ENSG00000116350_1_AI_3	True	alt5^1|putative_alt3^1|ir^4|ale^1|multi_exon_spanning^2|other^1	True	C1_C2_intron	29165358-29165889	False	False	False	0.362							0.644	-0.282	0.4	0.733	0.088	0.267																					
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42908633-42913304	gene:ENSG00000160194_1_CE_6	True	cassette^7|tandem_cassette^2|ir^7|multi_exon_spanning^3|other^1	True	C2_A	42906902-42908864	False	False	True	0.0	0.001	-0.0	0.181	0.424	0.159	0.257	0.232	-0.232	0.016	0.016	0.002	0.016	0.231	0.004	0.004	0.002	0.004	0.248	0.247	0.01	0.01	0.0	0.01	0.248	0.029	0.029	0.0	0.029	0.016	0.746	0.992	0.856	0.905
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_AI_1	True	cassette^1|ir^3|multi_exon_spanning^2	False	C2_C1_intron	5218535-5218786	False	False	False	0.064	0.07	-0.006	0.181	0.424	0.475	0.257	0.118	-0.054	0.079	0.143	0.055	0.111	0.048	0.186	0.238	0.162	0.177	0.054	-0.015	0.552	0.424	0.472	0.476	-0.009	0.771	0.771	0.823	0.686	-0.064	0.143	0.143	0.063	0.063
gene:ENSG00000120963_1	gene:ENSG00000120963	ZNF706	8	-	gene:ENSG00000120963:t:101204650-101204779	gene:ENSG00000120963_1_AI_3	True	cassette^2|ir^3|multi_exon_spanning^3	False	C2_C1_intron	101204780-101205210	False	False	False								0.906											0.847											-0.059	0.286	0.619	0.096	0.19
gene:ENSG00000152601_2	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152447620-152447773	gene:ENSG00000152601_2_CE_1	False	cassette^1	False	C2_A	152446757-152447620	False	True	True	0.908	0.908	0.0	0.752	0.924	0.595	0.762	0.598	0.31	0.016	0.016	0.0	0.016	-0.31	0.004	0.004	0.001	0.004	0.596	-0.312	0.01	0.01	0.0	0.01	-0.312	0.029	0.029	0.0	0.029	-0.002	0.746	0.992	0.482	0.905
gene:ENSG00000152601_3	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152456267-152456361	gene:ENSG00000152601_3_AI_1	True	cassette^1|ir^2|other^1	True	C2_C1_intron	152455578-152456266	False	False	False	0.047	0.041	0.006	0.937	0.992	0.94	0.905	0.075	-0.028	0.143	0.143	0.064	0.111	0.034	0.079	0.079	0.026	0.032	0.054	0.014	1.0	0.992	0.555	0.73	0.008	1.0	1.0	0.683	0.886	-0.021	0.016	0.016	0.024	0.016
gene:ENSG00000152601_1	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152299405-152300110	gene:ENSG00000152601_1_other	True	afe^2|multi_exon_spanning^3|other^1	False	J5	152299254-152299405	False	False	True	0.315	0.23	0.085	0.079	0.143	0.009	0.032	0.002	0.313	0.016	0.016	0.0	0.016	-0.228	0.008	0.008	0.0	0.008	0.004	-0.227	0.016	0.016	0.0	0.016	-0.312	0.029	0.029	0.0	0.029	0.002	0.563	0.563	0.893	0.73
gene:ENSG00000188554_1	gene:ENSG00000188554	NBR1	17	+	gene:ENSG00000188554:s:43170481-43170943	gene:ENSG00000188554_1_CE_1	True	cassette^1|alt5^1	True	C1_A	43170943-43171074	False	False	False		0.19						0.206						0.016	0.929	0.857	0.935	1.0	0.085	-0.105	0.6	0.9	0.223	0.4						-0.121	0.286	0.619	0.047	0.381
gene:ENSG00000106603_1	gene:ENSG00000106603	COA1	7	-	gene:ENSG00000106603:t:43648188-43650296	gene:ENSG00000106603_1_CE_1	True	cassette^6|alt5^1|ir^3|ale^1|multi_exon_spanning^5	False	C2_A	43648652-43650493	False	False	False	0.006	0.03	-0.024	0.348	0.424	0.212	0.171	0.059	-0.053	0.079	0.143	0.015	0.032	0.029	0.108	0.238	0.059	0.052	0.065	0.035	0.048	0.095	0.049	0.067	0.059	0.029	0.029	0.014	0.029	0.006	1.0	0.992	0.974	0.905
