cluster	status	loglr	df	p	p.adjust	genes
chr10:clu_1053_+	Success	8.1322950794322	3	0.00100077802351578	0.0197240717256022	ZMYND11
chr10:clu_1054_+	Success	3.60730244559454	2	0.0271249192090394	0.157468209695303	ZMYND11
chr10:clu_1055_+	Success	0.0567581954660454	2	0.944822504112408	0.998707868669576	ZMYND11
chr10:clu_1056_+	Success	-0.844263964810125	2	1	1	ZMYND11
chr10:clu_1057_+	Not enough valid samples	NA	NA	NA	NA	WDR37
chr10:clu_1058_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	WDR37
chr10:clu_1059_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AKR1E2
chr10:clu_1060_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AKR1E2
chr10:clu_1061_+	Success	1.25588065066637	1	0.112999574520494	0.352003789682766	AKR1C3
chr10:clu_1062_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NET1
chr10:clu_1063_+	Success	1.03290725251668	5	0.839965461340016	0.952409171394656	TASOR2
chr10:clu_1064_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TASOR2
chr10:clu_1065_+	Success	1.15666233961622	1	0.128269433510332	0.37883649373323	PFKFB3
chr10:clu_1066_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PFKFB3
chr10:clu_1067_+	Success	0.505161039364793	2	0.603408395097664	0.82578811823478	ATP5F1C
chr10:clu_1068_+	Success	0.831617692851751	2	0.43534446275577	0.708700288207068	ATP5F1C
chr10:clu_1069_+	Not enough valid samples	NA	NA	NA	NA	CELF2
chr10:clu_1070_+	Success	1.06914320498618	4	0.710342099982873	0.890120038867427	CELF2
chr10:clu_1071_+	Success	1.07437305668009	2	0.341511796737694	0.632265560099448	CELF2
chr10:clu_1072_+	Success	-0.0520981923932595	2	1	1	CELF2
chr10:clu_1073_+	Not enough valid samples	NA	NA	NA	NA	CELF2
chr10:clu_1074_+	Success	0.843440780665219	1	0.19401255862842	0.471684060818931	CAMK1D
chr10:clu_1075_+	Success	0.334565197336815	1	0.413354955373812	0.691563718901859	OPTN
chr10:clu_1076_+	Success	0.9421503753465	4	0.757028350412996	0.915593859372942	OPTN
chr10:clu_1077_+	Success	0.0966192525065708	1	0.660234795844378	0.859328848465963	OPTN
chr10:clu_1078_+	Success	0.204301865026309	1	0.522679048868301	0.770543550619209	PRPF18
chr10:clu_1079_+	Success	5.75982752079199	2	0.00315165514655133	0.0406643640730881	PRPF18
chr10:clu_1080_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SUV39H2
chr10:clu_1081_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RPP38
chr10:clu_1082_+	Success	2.08557567276921	2	0.124235580535365	0.372024255683947	SLC39A12
chr10:clu_1083_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CACNB2
