# {
#     "command": "/home/pjewell/majiq/env_3.8/bin/voila modulize output/build/splicegraph.sql output/heterogen/HepG2_SRSF4KD-HepG2_NT.het.voila output/heterogen/HepG2_SRSF4KD-K562_NT.het.voila output/heterogen/K562_NT-HepG2_NT.het.voila output/heterogen/K562_SRSF4KD-HepG2_NT.het.voila output/heterogen/K562_SRSF4KD-HepG2_SRSF4KD.het.voila output/heterogen/K562_SRSF4KD-K562_NT.het.voila -d output/modulized --overwrite",
#     "het_IQR_nonchanging_threshold": 0.1,
#     "het_changing_threshold": 0.2,
#     "het_nonchanging_threshold": 0.05,
#     "het_pvalue_changing_threshold": 0.05,
#     "het_pvalue_nonchanging_threshold": 0.05,
#     "voila_version": "2.2.0"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	junction_name	junction_coord	denovo	intron	reference_exon_coord	spliced_with_coord	exons_skipped_coords	num_skipped_exons	event_non_changing	event_changing	junction_changing	HepG2_SRSF4KD_het_median_psi	HepG2_NT_het_median_psi	HepG2_SRSF4KD-HepG2_NT_het_median_dpsi	HepG2_SRSF4KD-HepG2_NT_het_infoscore	HepG2_SRSF4KD-HepG2_NT_het_tnom	HepG2_SRSF4KD-HepG2_NT_het_ttest	HepG2_SRSF4KD-HepG2_NT_het_wilcoxon	K562_NT_het_median_psi	HepG2_SRSF4KD-K562_NT_het_median_dpsi	HepG2_SRSF4KD-K562_NT_het_infoscore	HepG2_SRSF4KD-K562_NT_het_tnom	HepG2_SRSF4KD-K562_NT_het_ttest	HepG2_SRSF4KD-K562_NT_het_wilcoxon	K562_NT-HepG2_NT_het_median_dpsi	K562_NT-HepG2_NT_het_infoscore	K562_NT-HepG2_NT_het_tnom	K562_NT-HepG2_NT_het_ttest	K562_NT-HepG2_NT_het_wilcoxon	K562_SRSF4KD_het_median_psi	K562_SRSF4KD-HepG2_NT_het_median_dpsi	K562_SRSF4KD-HepG2_NT_het_infoscore	K562_SRSF4KD-HepG2_NT_het_tnom	K562_SRSF4KD-HepG2_NT_het_ttest	K562_SRSF4KD-HepG2_NT_het_wilcoxon	K562_SRSF4KD-HepG2_SRSF4KD_het_median_dpsi	K562_SRSF4KD-HepG2_SRSF4KD_het_infoscore	K562_SRSF4KD-HepG2_SRSF4KD_het_tnom	K562_SRSF4KD-HepG2_SRSF4KD_het_ttest	K562_SRSF4KD-HepG2_SRSF4KD_het_wilcoxon	K562_SRSF4KD-K562_NT_het_median_dpsi	K562_SRSF4KD-K562_NT_het_infoscore	K562_SRSF4KD-K562_NT_het_tnom	K562_SRSF4KD-K562_NT_het_ttest	K562_SRSF4KD-K562_NT_het_wilcoxon
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:s:5219309-5219467	gene:ENSG00000105426_1_MES_1	True	Distal	5218532-5219310	True	False	5219310-5219467	5218420-5218532	5218787-5218964;5219299-5219307	2	False	False	True	0.34	0.366	-0.026	0.348	0.424	0.293	0.476	0.21	0.13	0.016	0.016	0.009	0.016	-0.156	0.004	0.004	0.0	0.004	0.116	-0.249	0.01	0.01	0.0	0.01	-0.223	0.029	0.029	0.001	0.029	-0.093	0.016	0.016	0.006	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:s:5219309-5219467	gene:ENSG00000105426_1_MES_1	True	Proximal				5219310-5219467		5218787-5218964;5219299-5219307	2	False	False	True	0.34	0.366	-0.026	0.348	0.424	0.293	0.476	0.21	0.13	0.016	0.016	0.009	0.016	-0.156	0.004	0.004	0.0	0.004	0.116	-0.249	0.01	0.01	0.0	0.01	-0.223	0.029	0.029	0.001	0.029	-0.093	0.016	0.016	0.006	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_MES_1	True	Distal	5218532-5219310	True	False	5218420-5218532	5219310-5219467	5218787-5218964;5219299-5219307	2	False	False	True	0.284	0.342	-0.058	0.01	0.01	0.012	0.01	0.19	0.094	0.016	0.016	0.005	0.016	-0.152	0.004	0.004	0.0	0.004	0.101	-0.242	0.01	0.01	0.0	0.01	-0.183	0.029	0.029	0.0	0.029	-0.09	0.016	0.016	0.003	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_MES_1	True	Proximal	5218532-5218787	False	False	5219310-5219467	5218787-5218964	5218787-5218964;5219299-5219307	2	False	False	True	0.284	0.342	-0.058	0.01	0.01	0.012	0.01	0.19	0.094	0.016	0.016	0.005	0.016	-0.152	0.004	0.004	0.0	0.004	0.101	-0.242	0.01	0.01	0.0	0.01	-0.183	0.029	0.029	0.0	0.029	-0.09	0.016	0.016	0.003	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:s:5219309-5219467	gene:ENSG00000105426_1_MES_2	True	Distal	5218532-5219310	True	False	5219310-5219467	5218420-5218532	5218787-5218964;5219299-5219307	2	False	False	True	0.34	0.366	-0.026	0.348	0.424	0.293	0.476	0.21	0.13	0.016	0.016	0.009	0.016	-0.156	0.004	0.004	0.0	0.004	0.116	-0.249	0.01	0.01	0.0	0.01	-0.223	0.029	0.029	0.001	0.029	-0.093	0.016	0.016	0.006	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:s:5219309-5219467	gene:ENSG00000105426_1_MES_2	True	Proximal				5219310-5219467		5218787-5218964;5219299-5219307	2	False	False	True	0.34	0.366	-0.026	0.348	0.424	0.293	0.476	0.21	0.13	0.016	0.016	0.009	0.016	-0.156	0.004	0.004	0.0	0.004	0.116	-0.249	0.01	0.01	0.0	0.01	-0.223	0.029	0.029	0.001	0.029	-0.093	0.016	0.016	0.006	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_MES_2	True	Distal	5218532-5219310	True	False	5218420-5218532	5219310-5219467	5218787-5218964;5219299-5219307	2	False	False	True	0.284	0.342	-0.058	0.01	0.01	0.012	0.01	0.19	0.094	0.016	0.016	0.005	0.016	-0.152	0.004	0.004	0.0	0.004	0.101	-0.242	0.01	0.01	0.0	0.01	-0.183	0.029	0.029	0.0	0.029	-0.09	0.016	0.016	0.003	0.016
gene:ENSG00000105426_1	gene:ENSG00000105426	PTPRS	19	-	gene:ENSG00000105426:t:5218420-5218534	gene:ENSG00000105426_1_MES_2	True	Proximal	5218535-5218786	False	True	5219310-5219467	5218787-5218964	5218787-5218964;5219299-5219307	2	False	False	True	0.284	0.342	-0.058	0.01	0.01	0.012	0.01	0.19	0.094	0.016	0.016	0.005	0.016	-0.152	0.004	0.004	0.0	0.004	0.101	-0.242	0.01	0.01	0.0	0.01	-0.183	0.029	0.029	0.0	0.029	-0.09	0.016	0.016	0.003	0.016
gene:ENSG00000152601_1	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:s:152244321-152244440	gene:ENSG00000152601_1_MES_1	True	Distal	152244440-152299405	False	False	152244321-152244440	152299405-152300110	152268040-152269092;152298982-152299254	2	False	False	False								0.833											0.839											0.006	0.714	0.857	0.216	0.25
gene:ENSG00000152601_1	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:s:152244321-152244440	gene:ENSG00000152601_1_MES_1	True	Proximal				152244321-152244440		152268040-152269092;152298982-152299254	2	False	False	False								0.833											0.839											0.006	0.714	0.857	0.216	0.25
gene:ENSG00000152601_1	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152299405-152300110	gene:ENSG00000152601_1_MES_1	True	Distal	152244440-152299405	False	False	152299405-152300110	152244321-152244440	152268040-152269092;152298982-152299254	2	False	False	True	0.004	0.006	-0.001	0.286	0.563	0.433	0.73	0.205	-0.201	0.016	0.016	0.0	0.016	0.2	0.008	0.008	0.0	0.008	0.307	0.301	0.016	0.016	0.01	0.016	0.302	0.029	0.029	0.01	0.029	0.101	0.143	0.143	0.145	0.286
gene:ENSG00000152601_1	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:t:152299405-152300110	gene:ENSG00000152601_1_MES_1	True	Proximal	152299254-152299405	False	False	152244321-152244440	152298982-152299254	152268040-152269092;152298982-152299254	2	False	False	True	0.004	0.006	-0.001	0.286	0.563	0.433	0.73	0.205	-0.201	0.016	0.016	0.0	0.016	0.2	0.008	0.008	0.0	0.008	0.307	0.301	0.016	0.016	0.01	0.016	0.302	0.029	0.029	0.01	0.029	0.101	0.143	0.143	0.145	0.286
gene:ENSG00000152601_1	gene:ENSG00000152601	MBNL1	3	+	gene:ENSG00000152601:s:152244321-152244440	gene:ENSG00000152601_1_MES_2	True	Distal	152244440-152414941	True	False	152244321-152244440	152414941-152415111	152268040-152269092;152298982-152299254;152299405-152300110;152300194-152300367;152335111-152335230	5	False	False	False								0.167											0.161											-0.006	0.714	0.857	0.216	0.25
