# {
#     "command": "/home/pjewell/majiq/env_3.8/bin/voila modulize output/build/splicegraph.sql output/heterogen/HepG2_SRSF4KD-HepG2_NT.het.voila output/heterogen/HepG2_SRSF4KD-K562_NT.het.voila output/heterogen/K562_NT-HepG2_NT.het.voila output/heterogen/K562_SRSF4KD-HepG2_NT.het.voila output/heterogen/K562_SRSF4KD-HepG2_SRSF4KD.het.voila output/heterogen/K562_SRSF4KD-K562_NT.het.voila -d output/modulized --overwrite",
#     "het_IQR_nonchanging_threshold": 0.1,
#     "het_changing_threshold": 0.2,
#     "het_nonchanging_threshold": 0.05,
#     "het_pvalue_changing_threshold": 0.05,
#     "het_pvalue_nonchanging_threshold": 0.05,
#     "voila_version": "2.2.0"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_size	event_non_changing	event_changing	junction_changing	HepG2_SRSF4KD_het_median_psi	HepG2_NT_het_median_psi	HepG2_SRSF4KD-HepG2_NT_het_median_dpsi	HepG2_SRSF4KD-HepG2_NT_het_infoscore	HepG2_SRSF4KD-HepG2_NT_het_tnom	HepG2_SRSF4KD-HepG2_NT_het_ttest	HepG2_SRSF4KD-HepG2_NT_het_wilcoxon	K562_NT_het_median_psi	HepG2_SRSF4KD-K562_NT_het_median_dpsi	HepG2_SRSF4KD-K562_NT_het_infoscore	HepG2_SRSF4KD-K562_NT_het_tnom	HepG2_SRSF4KD-K562_NT_het_ttest	HepG2_SRSF4KD-K562_NT_het_wilcoxon	K562_NT-HepG2_NT_het_median_dpsi	K562_NT-HepG2_NT_het_infoscore	K562_NT-HepG2_NT_het_tnom	K562_NT-HepG2_NT_het_ttest	K562_NT-HepG2_NT_het_wilcoxon	K562_SRSF4KD_het_median_psi	K562_SRSF4KD-HepG2_NT_het_median_dpsi	K562_SRSF4KD-HepG2_NT_het_infoscore	K562_SRSF4KD-HepG2_NT_het_tnom	K562_SRSF4KD-HepG2_NT_het_ttest	K562_SRSF4KD-HepG2_NT_het_wilcoxon	K562_SRSF4KD-HepG2_SRSF4KD_het_median_dpsi	K562_SRSF4KD-HepG2_SRSF4KD_het_infoscore	K562_SRSF4KD-HepG2_SRSF4KD_het_tnom	K562_SRSF4KD-HepG2_SRSF4KD_het_ttest	K562_SRSF4KD-HepG2_SRSF4KD_het_wilcoxon	K562_SRSF4KD-K562_NT_het_median_dpsi	K562_SRSF4KD-K562_NT_het_infoscore	K562_SRSF4KD-K562_NT_het_tnom	K562_SRSF4KD-K562_NT_het_ttest	K562_SRSF4KD-K562_NT_het_wilcoxon
gene:ENSG00000120963_1	gene:ENSG00000120963	ZNF706	8	-	gene:ENSG00000120963:t:101202333-101202452	gene:ENSG00000120963_1_AI_1	True	False	101202333-101202452	C1	101204650-101204779	C2_C1_intron	101202453-101204649	2197	False	False	False	0.711							0.891	-0.18	0.286	0.619	0.108	0.19						0.797						0.085	0.4	0.733	0.301	0.267	-0.095	0.079	0.143	0.132	0.111
gene:ENSG00000120963_1	gene:ENSG00000120963	ZNF706	8	-	gene:ENSG00000120963:t:101202333-101202452	gene:ENSG00000120963_1_AI_1	True	False	101204650-101204779	C1	101204650-101204779	C2_C1_spliced	101202447-101204650	2197	False	False	False	0.062							0.062	-0.0	0.952	1.0	0.768	1.0						0.07						0.008	0.733	0.733	0.452	0.533	0.008	0.746	0.992	0.587	0.556
gene:ENSG00000120963_1	gene:ENSG00000120963	ZNF706	8	-	gene:ENSG00000120963:t:101202333-101202452	gene:ENSG00000120963_1_AI_2	True	False	101202333-101202452	C1	101204650-101204779	C2_C1_intron	101202453-101204649	2197	False	False	False	0.711							0.891	-0.18	0.286	0.619	0.108	0.19						0.797						0.085	0.4	0.733	0.301	0.267	-0.095	0.079	0.143	0.132	0.111
gene:ENSG00000120963_1	gene:ENSG00000120963	ZNF706	8	-	gene:ENSG00000120963:t:101202333-101202452	gene:ENSG00000120963_1_AI_2	True	False	101204650-101204779	C1	101204650-101204779	C2_C1_spliced	101202447-101205435	2197	False	False	False	0.198							0.041	0.157	0.095	0.095	0.279	0.095						0.12						-0.078	0.733	0.733	0.468	0.533	0.079	0.079	0.143	0.011	0.032
gene:ENSG00000120963_1	gene:ENSG00000120963	ZNF706	8	-	gene:ENSG00000120963:t:101204650-101204779	gene:ENSG00000120963_1_AI_3	True	False	101204650-101204779	C1	101205211-101205329	C2_C1_intron	101204780-101205210	431	False	False	False								0.906											0.847											-0.059	0.286	0.619	0.096	0.19
gene:ENSG00000120963_1	gene:ENSG00000120963	ZNF706	8	-	gene:ENSG00000120963:t:101204650-101204779	gene:ENSG00000120963_1_AI_3	True	False	101205211-101205329	C1	101205211-101205329	C2_C1_spliced	101204693-101205435	431	False	False	False								0.072											0.141											0.069	0.286	0.619	0.067	0.19
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42903182-42904276	gene:ENSG00000160194_1_AI_1	True	True	42903182-42904276	C1	42896927-42897047	C2_C1_intron	42897048-42903181	6134	False	False	False	0.018	0.017	0.001	0.752	0.924	0.434	0.762	0.059	-0.041	0.079	0.143	0.023	0.032	0.041	0.004	0.004	0.003	0.004	0.034	0.017	0.048	0.095	0.027	0.038	0.016	0.229	0.229	0.247	0.343	-0.024	0.079	0.143	0.077	0.063
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:t:42903182-42904276	gene:ENSG00000160194_1_AI_1	True	False	42896927-42897047	C1	42896927-42897047	C2_C1_spliced	42897047-42903182	6134	False	False	False	0.868	0.937	-0.069	0.181	0.424	0.231	0.114	0.928	-0.06	0.468	0.563	0.194	0.19	-0.009	0.108	0.238	0.904	0.329	0.94	0.003	0.752	1.0	0.294	1.0	0.072	0.029	0.029	0.104	0.029	0.012	0.016	0.016	0.053	0.016
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:s:42896927-42897047	gene:ENSG00000160194_1_AI_2	True	True	42896927-42897047	C2	42903182-42904276	C1_C2_intron	42897048-42903181	6134	False	False	False	0.002	0.001	0.001	0.348	0.424	0.328	0.476	0.017	-0.015	0.016	0.016	0.0	0.016	0.016	0.004	0.004	0.0	0.004	0.011	0.01	0.01	0.01	0.016	0.01	0.009	0.229	0.229	0.02	0.057	-0.006	0.016	0.016	0.033	0.016
gene:ENSG00000160194_1	gene:ENSG00000160194	NDUFV3	21	+	gene:ENSG00000160194:s:42896927-42897047	gene:ENSG00000160194_1_AI_2	True	True	42896927-42897047	C2	42903182-42904276	C1_C2_spliced	42897047-42906840	6134	False	False	False	0.0	0.001	-0.0	0.181	0.424	0.182	0.257	0.017	-0.017	0.016	0.016	0.016	0.016	0.016	0.004	0.004	0.017	0.004	0.021	0.02	0.01	0.01	0.001	0.01	0.021	0.029	0.029	0.001	0.029	0.004	0.286	0.563	0.57	0.73
